Wall time,Step,Value
1533276375.568366,1,0.6945708990097046
1533276407.3084528,101,0.46635904908180237
1533276443.7725005,116,0.5210455656051636
1533276475.7358043,216,0.4278515577316284
1533276510.026143,231,0.4568655490875244
1533276542.0553787,331,0.2918231785297394
1533276577.1717467,346,0.30514606833457947
1533276609.1149628,446,0.25776708126068115
1533276644.0770497,461,0.2480960637331009
1533276676.0571036,561,0.22585465013980865
1533276709.2749572,576,0.22957801818847656
1533276741.2257664,676,0.24516542255878448
1533276773.0133622,691,0.1556362360715866
1533276805.0181744,791,0.207947239279747
1533276836.1014276,806,0.1445186287164688
1533276868.201577,906,0.0928647518157959
1533276905.7486944,921,0.12517160177230835
1533276937.8744771,1021,0.07796192169189453
1533276975.8698025,1036,0.0876711755990982
1533277007.755434,1136,0.03581865876913071
1533277042.1661136,1151,0.013021965511143208
1533277074.1264513,1251,0.2922004163265228
1533277108.0853803,1266,0.00876524019986391
1533277139.9841914,1366,0.022290624678134918
1533277176.5918174,1381,0.0467628575861454
1533277208.5568666,1481,0.023090997710824013
1533277239.3043392,1496,0.008403346873819828
1533277271.2414136,1596,0.057003602385520935
1533277302.6436179,1611,0.037116747349500656
1533277334.5997348,1711,0.013510199263691902
1533277365.4911587,1726,0.0008991645299829543
1533277397.4732385,1826,0.0018789556343108416
1533277428.9939446,1841,0.012279101647436619
1533277461.0040138,1941,0.00876476801931858
1533277494.721435,1956,0.0039722612127661705
1533277526.6707237,2056,0.004338460974395275
1533277560.7480662,2071,0.00021450930216815323
1533277592.6856925,2171,0.0011867242865264416
1533277627.382138,2186,0.001314300112426281
1533277659.1567159,2286,9.897280688164756e-05
1533277693.4726582,2301,0.0016901935450732708
1533277725.4389818,2401,8.185653132386506e-05
1533277760.1311595,2416,2.0591822249116376e-05
1533277791.9814658,2516,2.70559721684549e-05
1533277824.5227284,2531,0.003520970232784748
1533277856.4500155,2631,0.00037828157655894756
1533277890.0493765,2646,0.3451170027256012
1533277921.905827,2746,0.039144258946180344
1533277956.5083292,2761,0.022312253713607788
1533277988.4001253,2861,0.00011523545254021883
1533278022.435382,2876,0.07092782109975815
1533278054.3662653,2976,0.0024049340281635523
1533278089.311247,2991,0.00045450759353116155
1533278121.2192733,3091,0.0005812603048980236
1533278156.0721142,3106,0.02872484363615513
1533278188.021871,3206,0.00445344764739275
1533278220.2424774,3221,0.0009429515339434147
1533278252.1887012,3321,0.002658527810126543
1533278284.4112468,3336,0.0005309067200869322
1533278316.3650246,3436,0.0005181817105039954
