Wall time,Step,Value
1533272348.4733274,1,0.6720605492591858
1533272380.0354452,101,0.47712329030036926
1533272413.0609214,116,0.5786527395248413
1533272444.9269428,216,0.42374831438064575
1533272475.7190533,231,0.8135803937911987
1533272507.7251415,331,0.28505939245224
1533272539.9703286,346,0.5106915235519409
1533272571.873352,446,0.23282216489315033
1533272603.2136588,461,0.36686450242996216
1533272635.2101617,561,0.18893417716026306
1533272666.5078006,576,0.3094567656517029
1533272698.6019776,676,0.22466972470283508
1533272729.4812047,691,0.24431301653385162
1533272761.3856277,791,0.18313929438591003
1533272792.580042,806,0.2505473792552948
1533272824.560614,906,0.14416566491127014
1533272856.1133459,921,0.24422191083431244
1533272887.9764907,1021,0.12679553031921387
1533272918.6967206,1036,0.06618532538414001
1533272950.5497062,1136,0.0404486358165741
1533272981.811619,1151,0.12055408954620361
1533273013.734595,1251,0.02185681462287903
1533273043.2706635,1266,0.07585269212722778
1533273075.2363083,1366,0.007044289261102676
1533273106.3522594,1381,0.005883862730115652
1533273138.3272603,1481,0.022073544561862946
1533273168.029711,1496,0.06816878914833069
1533273199.920563,1596,0.006505738012492657
1533273230.9807189,1611,0.0239741038531065
1533273262.944916,1711,0.0010588987497612834
1533273294.5187447,1726,0.035772476345300674
1533273326.4099753,1826,0.010462893173098564
1533273357.8933136,1841,0.001301559153944254
1533273389.7933474,1941,0.15356576442718506
1533273420.6479282,1956,0.15225082635879517
1533273452.6118195,2056,0.08045311272144318
1533273484.0971036,2071,0.07056406140327454
1533273516.0085905,2171,0.0350789949297905
1533273547.5003183,2186,0.030190547928214073
1533273579.4715261,2286,0.000639831181615591
1533273610.6432314,2301,0.014276530593633652
1533273642.4275837,2401,0.0793938934803009
1533273674.060252,2416,0.0046640243381261826
1533273706.0186608,2516,0.001904148026369512
1533273737.58423,2531,0.005258235614746809
1533273769.391497,2631,3.369774640304968e-05
1533273799.8796852,2646,0.020616622641682625
1533273831.856021,2746,0.0012483109021559358
1533273863.620138,2761,0.019559592008590698
1533273895.4602797,2861,0.0021075073163956404
1533273926.9148235,2876,0.0007095829350873828
1533273958.7642407,2976,0.010506901890039444
1533273989.2757618,2991,0.0063774473965168
1533274021.241841,3091,0.0008887500152923167
1533274052.169511,3106,0.024443069472908974
1533274084.1811776,3206,0.004667819477617741
1533274115.2160406,3221,0.061825454235076904
1533274147.1538835,3321,0.007341248448938131
1533274178.2938316,3336,0.03285706788301468
1533274210.1380718,3436,0.00046262104297056794
