Wall time,Step,Value
1533274346.1872149,1,0.7055144906044006
1533274377.942645,101,0.5454434156417847
1533274408.3423495,116,0.5377161502838135
1533274440.335922,216,0.30976003408432007
1533274471.3477707,231,0.6978105902671814
1533274503.3284252,331,0.27557653188705444
1533274535.0926483,346,0.4466817378997803
1533274567.0372446,446,0.27106156945228577
1533274598.0006983,461,0.34149688482284546
1533274629.9571183,561,0.20554473996162415
1533274660.8987243,576,0.1936829388141632
1533274692.9608686,676,0.2366088628768921
1533274723.9683988,691,0.3315660357475281
1533274755.907804,791,0.19022715091705322
1533274786.8599856,806,0.20345807075500488
1533274818.8693345,906,0.21880696713924408
1533274850.3785667,921,0.15360546112060547
1533274882.3764136,1021,0.11600971221923828
1533274913.3721786,1036,0.1899416595697403
1533274945.3790216,1136,0.15056824684143066
1533274976.9737928,1151,0.14586272835731506
1533275008.8949602,1251,0.06895473599433899
1533275040.9029062,1266,0.04953785985708237
1533275072.850487,1366,0.08003614097833633
1533275104.7832086,1381,0.12567712366580963
1533275136.5758517,1481,0.0024801320396363735
1533275168.5993366,1496,0.01845312863588333
1533275200.6243458,1596,0.1912318915128708
1533275232.4567711,1611,0.01411433331668377
1533275264.3611102,1711,0.010410904884338379
1533275295.9444745,1726,0.016993723809719086
1533275327.9217699,1826,0.12965598702430725
1533275359.8411026,1841,0.07219242304563522
1533275391.7555773,1941,0.005202596075832844
1533275423.5955124,1956,0.024544931948184967
1533275455.5286543,2056,0.0070605105720460415
1533275488.0669215,2071,0.049959082156419754
1533275520.0168984,2171,0.0016649903263896704
1533275551.8483431,2186,0.0015586958033964038
1533275583.79785,2286,0.00028434861451387405
1533275615.8417337,2301,0.008254008367657661
1533275647.7965837,2401,0.008573334664106369
1533275679.312011,2416,0.005669599398970604
1533275711.3517869,2516,0.0003230495494790375
1533275743.0187933,2531,0.0019646226428449154
1533275775.0622025,2631,0.0001149624731624499
1533275806.2256796,2646,0.00030745952972210944
1533275838.199172,2746,9.404592128703371e-05
1533275868.7980788,2761,0.00016339545254595578
1533275900.6263487,2861,2.872397999453824e-05
1533275932.1809454,2876,0.0017285223584622145
1533275964.1158323,2976,1.6445332221337594e-05
1533275995.4950085,2991,0.00021319062216207385
1533276027.36999,3091,4.7009347326820716e-05
1533276058.7839851,3106,0.00027558868168853223
1533276090.7588215,3206,5.467833034344949e-05
1533276121.845325,3221,6.820699491072446e-05
1533276153.7647724,3321,6.768539606127888e-06
1533276186.285577,3336,0.00017279160965699703
1533276218.2220771,3436,4.684876330429688e-05
